neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,32,0,195,3,77,2,180
2,5,1,35,2,32,4,329
4,18,1,80,3,8,1,0
6,95,0,75,2,197,1,301
9,1,0,100,2,49,1,247
10,33,0,38,1,1,1,0
4,17,0,73,4,12,1,0
6,49,0,70,16,14,1,251
10,110,1,45,3,123,1,54
4,100,1,55,2,358,2,338
1,53,0,160,3,68,1,45
1,32,0,80,3,61,1,14
5,80,0,50,6,39,1,0
5,105,1,35,2,1,1,0
4,85,1,34,3,130,3,0
10,33,0,45,7,2,1,0
6,95,1,55,2,35,1,251
0,72,0,49,240,1,3,364
4,85,1,39,3,68,3,0
6,95,0,89,5,34,1,344
1,32,0,65,3,44,4,322
4,18,0,68,5,1,1,0
4,2,1,32,6,68,1,137
5,80,0,59,2,32,1,251
6,122,1,16,2,76,1,43
5,38,0,35,1,189,2,304
2,7,1,38,3,63,2,154
4,18,1,100,5,18,2,234
6,95,0,75,3,13,1,314
4,2,0,60,5,113,1,7
1,135,1,45,4,24,1,308
5,101,1,35,3,2,2,0
6,94,1,30,2,177,1,296
6,49,1,100,2,22,1,190
5,101,1,65,1,8,1,364
6,94,0,75,3,154,1,13
6,55,0,52,2,7,2,344
6,55,0,65,2,42,2,77
9,1,0,60,5,5,1,2
4,18,0,98,3,49,1,0
3,12,1,30,2,1,1,290
5,102,0,47,30,11,2,272
0,72,0,35,120,9,1,207
1,118,0,29,90,165,2,16
6,95,0,110,7,41,1,321
6,98,0,51,60,38,1,310
5,101,1,38,3,12,1,0
1,118,0,60,5,20,1,0
6,98,1,45,4,117,1,42
4,73,0,49,4,168,1,108
5,16,0,63,3,21,1,315
1,118,1,45,3,31,2,354
10,110,0,120,3,82,1,42
1,118,0,95,2,167,5,278
0,79,0,150,3,119,1,297
1,118,0,52,90,137,3,214
4,73,1,80,1,2,3,0
5,102,0,55,25,71,3,185
10,117,0,60,5,64,1,46
6,95,0,107,1,70,1,247
0,27,1,30,2,130,2,316
0,27,1,29,1,138,2,340
6,95,0,90,60,10,3,310
0,27,0,70,3,27,1,273
6,97,0,100,5,5,1,35
4,73,1,45,2,35,1,364
1,135,0,55,14,4,1,0
6,94,0,92,3,143,1,333
6,98,0,69,4,10,1,0
5,101,0,50,1,3,1,0
0,108,0,45,3,5,1,0
1,115,1,36,2,148,1,155
4,18,0,67,4,13,1,12
0,89,0,79,3,41,1,309
6,49,0,48,3,211,1,81
7,86,0,68,1,54,3,364
6,95,1,35,2,163,1,307
5,102,0,44,1,196,3,303
5,102,0,55,5,133,1,117
5,80,1,35,2,68,1,312
5,16,0,190,3,2,1,329
6,98,1,150,1,18,1,0
5,102,0,50,23,55,3,137
10,110,0,62,5,3,1,0
5,105,0,29,2,7,1,294
1,135,0,54,1,5,1,331
1,134,0,75,61,20,3,279
1,134,0,75,61,18,3,282
4,18,0,85,3,2,1,0
6,97,0,79,5,12,1,129
4,119,1,45,2,188,1,14
6,49,1,89,10,1,1,0
4,100,0,455,2,72,1,264
6,49,0,55,4,19,4,0
5,105,1,51,2,273,1,315
3,56,0,70,2,19,1,63
6,49,0,85,3,17,4,0
1,118,1,30,1,2,1,0
5,80,1,60,1,1,1,0
4,18,0,95,2,149,3,0
6,95,0,50,2,67,1,0
1,53,1,40,8,10,1,0
4,121,0,79,3,16,1,132
7,83,0,38,1,151,2,297
4,119,0,79,3,15,1,0
6,97,0,50,3,7,1,0
4,74,0,85,5,4,1,0
1,118,0,79,1,359,1,215
1,118,0,60,4,174,1,0
6,95,0,55,30,15,1,17
1,115,0,47,3,1,1,0
6,49,1,2228,1,53,4,0
1,118,0,197,5,3,1,0
4,18,0,79,5,16,1,0
6,95,1,40,3,7,1,326
1,30,0,85,28,47,1,207
6,95,0,90,5,10,1,0
5,80,0,40,2,70,1,0
4,18,1,45,1,28,1,0
5,102,0,62,3,106,2,278
3,46,0,45,3,19,1,262
6,49,0,95,2,70,5,316
4,18,1,55,2,2,1,0
5,105,1,49,1,10,1,0
1,30,1,42,2,108,1,59
6,97,0,106,60,24,1,263
1,32,1,45,2,50,1,220
0,27,0,30,185,17,1,319
6,97,0,69,60,122,2,124
4,2,0,88,5,16,1,51
6,91,1,50,5,6,1,365
4,74,0,80,2,193,1,275
0,79,0,80,3,39,1,37
4,74,0,61,90,44,1,328
6,94,0,35,4,13,1,2
1,52,0,45,3,49,1,35
6,97,0,79,11,23,1,310
1,118,0,72,1,11,1,0
5,101,0,59,4,11,1,248
6,95,0,65,4,13,1,0
5,102,1,30,3,6,2,0
4,92,0,45,90,21,1,314
1,53,0,75,59,112,4,193
3,70,0,50,7,1,1,0
5,105,1,90,5,14,1,0
1,118,0,50,5,3,1,0
5,101,0,75,4,17,1,310
1,32,0,47,1,374,1,45
10,110,0,100,3,23,2,78
0,27,0,31,60,2,5,114
0,27,0,31,90,3,5,158
6,90,0,49,60,26,2,130
0,27,0,31,90,1,5,279
10,110,0,90,3,15,3,252
5,102,0,62,3,113,2,310
1,118,0,105,5,14,1,365
1,30,0,100,90,27,4,29
1,30,0,110,180,32,4,221
1,118,1,30,2,25,4,284
1,30,0,80,90,40,2,304
1,135,0,100,10,2,1,26
0,51,0,60,6,12,1,0
